Country,method,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Region
United Republic of Tanzania,Microscopyexamined,3701608,5800195,7077411,6888029,727130,673223,1386389,2888538,3015052,1840897,1696487,Africa
United Republic of Tanzania,Microscopypositive,1277388,1813654,1772736,1481759,572289,412702,1262679,916742,831903,366673,296052,Africa
United Republic of Tanzania,RDTexamined,136123,1628092,1091615,1256762,17746946,16652731,15633676,17144755,19603825,18861368,20620288,Africa
United Republic of Tanzania,RDTpositive,1974,337582,214893,72879,107963,4489951,4499694,4828165,5221811,5546911,5681861,Africa
United Republic of Tanzania,Importedcases,0,0,0,719,1583,2550,0,0,1754,3286,4314,Africa
Zambia,Suspectedcases,0,0,0,0,7859740,8116962,9627862,10952323,10055407,11340409,15491235,Africa
Zambia,Presumedandconfirmed,4229839,4607908,4695400,5465122,5972933,5094123,5976192,6054679,5195723,5360020,8698304,Africa
Zambia,Microscopyexamined,0,0,0,0,0,0,0,0,180697,275323,398195,Africa
Zambia,Microscopypositive,0,0,0,0,0,0,0,0,49855,78474,128291,Africa
Zambia,RDTexamined,0,0,0,0,5964354,7207500,8502989,10403283,9718666,10852416,14513049,Africa
Zambia,RDTpositive,0,0,0,0,4077547,4184661,4851319,5505639,4989824,5068876,7992924,Africa
Zimbabwe,Suspectedcases,912618,480011,727174,1115005,1478357,1638438,1400095,1831823,1293392,1324299,1389065,Africa
Zimbabwe,Presumedandconfirmed,648965,319935,276963,422633,572944,482379,384029,767069,264018,308173,447381,Africa
Zimbabwe,Microscopyexamined,0,10004,0,0,0,0,0,0,2771,0,0,Africa
Zimbabwe,Microscopypositive,249379,0,0,0,0,0,0,0,0,0,0,Africa
Zimbabwe,RDTexamined,513032,470007,727174,1115005,1453689,1638438,1330069,1533030,1290621,1297197,1356433,Africa
Zimbabwe,RDTpositive,249379,319935,276963,422633,548276,482379,314003,468276,264018,308173,447381,Africa
Zimbabwe,Importedcases,0,0,0,0,0,180,358,768,672,0,0,Africa
